config,alignment,loss,repr_mode,eer_mean,eer_std,auc_mean,auc_std,dprime_mean,dprime_std,tar_at_far1_mean,rank1,latency_probe_s_mean
A0_softmax,A0,softmax,raw_ply,0.1206060606060606,0.02309003418369543,0.953186409550046,0.02113732694400607,1.8282195209877365,0.2107742087156711,0.4424242424242424,0.8484848484848485,0.00914
A0_arcface,A0,arcface,raw_ply,0.1503030303030303,0.02171270802142165,0.9292011019283747,0.02275051450017503,1.8146027574908778,0.22252940851285216,0.4666666666666666,0.7878787878787878,0.00924
A1_softmax,A1,softmax,align_center,0.044242424242424236,0.02373328999903186,0.9936455463728192,0.0031923186001153094,3.318142805482087,0.1486515052991007,0.9333333333333333,0.9696969696969697,0.009240000000000002
A1_arcface,A1,arcface,align_center,0.013939393939393935,0.013800360650588721,0.9994674012855832,0.00047679540810827755,6.276212723107036,0.2420879315986706,0.9818181818181818,1.0,0.00954
A2_softmax,A2,softmax,align_centerscale,0.00030303030303030303,0.0006060606060606061,0.999963269054178,7.34618916437224e-05,4.2128823518066225,0.14765073160218942,1.0,1.0,0.00926
A2_arcface,A2,arcface,align_centerscale,0.0,0.0,1.0,0.0,9.28742905747215,1.1874348467354783,1.0,1.0,0.00924
A3_softmax,A3,softmax,canonical_npy,0.00030303030303030303,0.0006060606060606061,0.9999449035812672,0.00011019283746556141,4.077705651146251,0.09328359111714185,1.0,1.0,0.00928
A3_arcface,A3,arcface,canonical_npy,0.0,0.0,1.0,0.0,8.93848589632812,0.4170065765809008,1.0,1.0,0.00926
A4_softmax,A4,softmax,align_pca_robust,0.016666666666666663,0.018606159312737874,0.9985858585858585,0.0019002718523045581,4.048251436139338,0.6735550014104451,0.9757575757575758,1.0,0.009240000000000002
A4_arcface,A4,arcface,align_pca_robust,0.005757575757575755,0.0092610344181431,0.9997245179063361,0.00029038362352324667,7.738019600220665,0.7412225091726795,0.9939393939393939,0.9696969696969697,0.00932
A5_softmax,A5,softmax,align_anatomical,0.004848484848484846,0.009696969696969693,0.9997245179063361,0.000550964187327807,3.888973705431758,0.3197333242257492,0.9818181818181818,1.0,0.009179999999999999
A5_arcface,A5,arcface,align_anatomical,0.004545454545454543,0.005420770854544939,0.9989164370982554,0.0019387538248516367,8.21803110891219,1.3478081761329699,0.9939393939393939,1.0,0.00922
